http://	http
https://739497722.docs.qq.com/ipGva4mn5bo	oyb
http://daniushuangpin.ys168.com/	owp
http://xxjd.ys168.com/	owp
xkjd.coding.me	ogw
https://gitee.com/xkinput/Rime_JD/commits/master	ogx
@163.com	;aw
@qq.com	;aq
@qq.com	;aq
http://xkinput.gitee.io/tools/search	ocx
https://xkinput.gitee.io/tools/contribution	ojl
http://xxjd.ys168.com/	oxx
https://gitee.com/xkinput/Rime_JD/	orj
https://github.com/lyserenity/rime_xkjd	orx
